open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_base_volume,taker_buy_quote_volume
1706745600000,0.10990000,0.10990000,0.10990000,0.10990000,0E-8,1706745659999,0E-8,0,0E-8,0E-8
1706745660000,0.10990000,0.10990000,0.10990000,0.10990000,0E-8,1706745719999,0E-8,0,0E-8,0E-8
1706745720000,0.11030000,0.11030000,0.11030000,0.11030000,34.00000000,1706745779999,3.75020000,1,34.00000000,3.75020000
1706745780000,0.11030000,0.11030000,0.11030000,0.11030000,0E-8,1706745839999,0E-8,0,0E-8,0E-8
1706745840000,0.11030000,0.11030000,0.11030000,0.11030000,0E-8,1706745899999,0E-8,0,0E-8,0E-8
1706745900000,0.11030000,0.11030000,0.11030000,0.11030000,0E-8,1706745959999,0E-8,0,0E-8,0E-8
1706745960000,0.11030000,0.11030000,0.11030000,0.11030000,0E-8,1706746019999,0E-8,0,0E-8,0E-8
1706746020000,0.11030000,0.11030000,0.11030000,0.11030000,0E-8,1706746079999,0E-8,0,0E-8,0E-8
1706746080000,0.11030000,0.11030000,0.11030000,0.11030000,0E-8,1706746139999,0E-8,0,0E-8,0E-8
1706746140000,0.11030000,0.11030000,0.11030000,0.11030000,0E-8,1706746199999,0E-8,0,0E-8,0E-8
1706746200000,0.11030000,0.11030000,0.11030000,0.11030000,0E-8,1706746259999,0E-8,0,0E-8,0E-8
1706746260000,0.11030000,0.11030000,0.11030000,0.11030000,0E-8,1706746319999,0E-8,0,0E-8,0E-8
1706746320000,0.11030000,0.11030000,0.11030000,0.11030000,0E-8,1706746379999,0E-8,0,0E-8,0E-8
1706746380000,0.11030000,0.11030000,0.11030000,0.11030000,0E-8,1706746439999,0E-8,0,0E-8,0E-8
1706746440000,0.11030000,0.11030000,0.11030000,0.11030000,0E-8,1706746499999,0E-8,0,0E-8,0E-8
1706746500000,0.11030000,0.11030000,0.11030000,0.11030000,0E-8,1706746559999,0E-8,0,0E-8,0E-8
1706746560000,0.11040000,0.11040000,0.11040000,0.11040000,38.00000000,1706746619999,4.19520000,1,38.00000000,4.19520000
1706746620000,0.11060000,0.11060000,0.11060000,0.11060000,34.00000000,1706746679999,3.76040000,2,34.00000000,3.76040000
1706746680000,0.11070000,0.11070000,0.11070000,0.11070000,913.00000000,1706746739999,101.06910000,3,913.00000000,101.06910000
1706746740000,0.11070000,0.11070000,0.11070000,0.11070000,199.00000000,1706746799999,22.02930000,4,199.00000000,22.02930000
1706746800000,0.11070000,0.11070000,0.11070000,0.11070000,14.00000000,1706746859999,1.54980000,1,14.00000000,1.54980000
1706746860000,0.11070000,0.11070000,0.11070000,0.11070000,67.00000000,1706746919999,7.41690000,3,67.00000000,7.41690000
1706746920000,0.11080000,0.11080000,0.11050000,0.11050000,123.00000000,1706746979999,13.60140000,4,123.00000000,13.60140000
1706746980000,0.11100000,0.11120000,0.11100000,0.11120000,72.00000000,1706747039999,7.99960000,3,72.00000000,7.99960000
1706747040000,0.11120000,0.11120000,0.11100000,0.11100000,44.00000000,1706747099999,4.88600000,2,44.00000000,4.88600000
1706747100000,0.11130000,0.11130000,0.11130000,0.11130000,87.00000000,1706747159999,9.68310000,5,87.00000000,9.68310000
1706747160000,0.11130000,0.11130000,0.11130000,0.11130000,154.00000000,1706747219999,17.14020000,6,154.00000000,17.14020000
1706747220000,0.11100000,0.11120000,0.11100000,0.11100000,116.00000000,1706747279999,12.88360000,4,83.00000000,9.22060000
1706747280000,0.11100000,0.11120000,0.11100000,0.11110000,97.00000000,1706747339999,10.77690000,4,97.00000000,10.77690000
1706747340000,0.11100000,0.11100000,0.11060000,0.11060000,133.00000000,1706747399999,14.74670000,5,100.00000000,11.09690000
1706747400000,0.11080000,0.11080000,0.11080000,0.11080000,72.00000000,1706747459999,7.97760000,2,72.00000000,7.97760000
1706747460000,0.11080000,0.11080000,0.11080000,0.11080000,189.00000000,1706747519999,20.94120000,7,189.00000000,20.94120000
1706747520000,0.11130000,0.11130000,0.11110000,0.11110000,108.00000000,1706747579999,12.00120000,3,108.00000000,12.00120000
1706747580000,0.11110000,0.11110000,0.11100000,0.11100000,164.00000000,1706747639999,18.21180000,8,164.00000000,18.21180000
1706747640000,0.11090000,0.11130000,0.11090000,0.11130000,62.00000000,1706747699999,6.88780000,3,62.00000000,6.88780000
1706747700000,0.11130000,0.11130000,0.11130000,0.11130000,369.00000000,1706747759999,41.06970000,8,369.00000000,41.06970000
1706747760000,0.11130000,0.11130000,0.11040000,0.11110000,89.00000000,1706747819999,9.88340000,5,73.00000000,8.11700000
1706747820000,0.11110000,0.11110000,0.11110000,0.11110000,38.00000000,1706747879999,4.22180000,3,38.00000000,4.22180000
1706747880000,0.11110000,0.11110000,0.11110000,0.11110000,22.00000000,1706747939999,2.44420000,2,22.00000000,2.44420000
1706747940000,0.11110000,0.11110000,0.11110000,0.11110000,156.00000000,1706747999999,17.33160000,5,156.00000000,17.33160000
1706748000000,0.11110000,0.11110000,0.11100000,0.11100000,44.00000000,1706748059999,4.88510000,3,44.00000000,4.88510000
1706748060000,0.11040000,0.11110000,0.11020000,0.11110000,372.00000000,1706748119999,41.13450000,8,147.00000000,16.33170000
1706748120000,0.11110000,0.11110000,0.11110000,0.11110000,38.00000000,1706748179999,4.22180000,2,38.00000000,4.22180000
1706748180000,0.11130000,0.11130000,0.11130000,0.11130000,33.00000000,1706748239999,3.67290000,2,33.00000000,3.67290000
1706748240000,0.11140000,0.11140000,0.11140000,0.11140000,19.00000000,1706748299999,2.11660000,1,19.00000000,2.11660000
1706748300000,0.11020000,0.11140000,0.11020000,0.11140000,248.00000000,1706748359999,27.38120000,4,43.00000000,4.79020000
1706748360000,0.11140000,0.11140000,0.11120000,0.11120000,115.00000000,1706748419999,12.80340000,3,115.00000000,12.80340000
1706748420000,0.11100000,0.11130000,0.11060000,0.11130000,100.00000000,1706748479999,11.09700000,3,34.00000000,3.78420000
1706748480000,0.11130000,0.11130000,0.11130000,0.11130000,0E-8,1706748539999,0E-8,0,0E-8,0E-8
1706748540000,0.11110000,0.11110000,0.11100000,0.11100000,26.00000000,1706748599999,2.88760000,2,26.00000000,2.88760000
1706748600000,0.11100000,0.11100000,0.11100000,0.11100000,0E-8,1706748659999,0E-8,0,0E-8,0E-8
1706748660000,0.11130000,0.11130000,0.11130000,0.11130000,37.00000000,1706748719999,4.11810000,1,37.00000000,4.11810000
1706748720000,0.11130000,0.11130000,0.11130000,0.11130000,15.00000000,1706748779999,1.66950000,1,15.00000000,1.66950000
1706748780000,0.11130000,0.11130000,0.11130000,0.11130000,0E-8,1706748839999,0E-8,0,0E-8,0E-8
1706748840000,0.11130000,0.11130000,0.11130000,0.11130000,0E-8,1706748899999,0E-8,0,0E-8,0E-8
1706748900000,0.11140000,0.11140000,0.11140000,0.11140000,270.00000000,1706748959999,30.07800000,2,270.00000000,30.07800000
1706748960000,0.11140000,0.11140000,0.11140000,0.11140000,0E-8,1706749019999,0E-8,0,0E-8,0E-8
1706749020000,0.11140000,0.11140000,0.11140000,0.11140000,0E-8,1706749079999,0E-8,0,0E-8,0E-8
1706749080000,0.11140000,0.11140000,0.11140000,0.11140000,0E-8,1706749139999,0E-8,0,0E-8,0E-8
1706749140000,0.11050000,0.11050000,0.11050000,0.11050000,135.00000000,1706749199999,14.91750000,1,135.00000000,14.91750000
1706749200000,0.11050000,0.11050000,0.11050000,0.11050000,0E-8,1706749259999,0E-8,0,0E-8,0E-8
1706749260000,0.11050000,0.11050000,0.11050000,0.11050000,0E-8,1706749319999,0E-8,0,0E-8,0E-8
1706749320000,0.11040000,0.11040000,0.11030000,0.11030000,162.00000000,1706749379999,17.87240000,3,0E-8,0E-8
1706749380000,0.11030000,0.11030000,0.11030000,0.11030000,0E-8,1706749439999,0E-8,0,0E-8,0E-8
1706749440000,0.11030000,0.11030000,0.11030000,0.11030000,0E-8,1706749499999,0E-8,0,0E-8,0E-8
1706749500000,0.11010000,0.11010000,0.11010000,0.11010000,480.00000000,1706749559999,52.84800000,1,0E-8,0E-8
1706749560000,0.11010000,0.11010000,0.11010000,0.11010000,0E-8,1706749619999,0E-8,0,0E-8,0E-8
1706749620000,0.11000000,0.11000000,0.10990000,0.10990000,711.00000000,1706749679999,78.20650000,3,0E-8,0E-8
1706749680000,0.10990000,0.10990000,0.10990000,0.10990000,0E-8,1706749739999,0E-8,0,0E-8,0E-8
1706749740000,0.10990000,0.10990000,0.10990000,0.10990000,0E-8,1706749799999,0E-8,0,0E-8,0E-8
1706749800000,0.10990000,0.11020000,0.10950000,0.11020000,1635.00000000,1706749859999,179.35010000,8,135.00000000,14.87700000
1706749860000,0.11020000,0.11020000,0.11020000,0.11020000,0E-8,1706749919999,0E-8,0,0E-8,0E-8
1706749920000,0.11020000,0.11020000,0.11020000,0.11020000,0E-8,1706749979999,0E-8,0,0E-8,0E-8
1706749980000,0.11020000,0.11020000,0.11020000,0.11020000,0E-8,1706750039999,0E-8,0,0E-8,0E-8
1706750040000,0.11020000,0.11020000,0.11020000,0.11020000,0E-8,1706750099999,0E-8,0,0E-8,0E-8
1706750100000,0.11020000,0.11020000,0.11020000,0.11020000,0E-8,1706750159999,0E-8,0,0E-8,0E-8
1706750160000,0.10930000,0.10930000,0.10930000,0.10930000,34.00000000,1706750219999,3.71620000,1,0E-8,0E-8
1706750220000,0.10970000,0.10970000,0.10950000,0.10950000,78.00000000,1706750279999,8.55060000,2,78.00000000,8.55060000
1706750280000,0.10950000,0.10950000,0.10950000,0.10950000,0E-8,1706750339999,0E-8,0,0E-8,0E-8
1706750340000,0.10950000,0.10950000,0.10950000,0.10950000,0E-8,1706750399999,0E-8,0,0E-8,0E-8
1706750400000,0.10900000,0.10900000,0.10900000,0.10900000,113.00000000,1706750459999,12.31700000,3,0E-8,0E-8
1706750460000,0.10900000,0.10900000,0.10900000,0.10900000,292.00000000,1706750519999,31.82800000,2,0E-8,0E-8
1706750520000,0.10900000,0.10900000,0.10900000,0.10900000,0E-8,1706750579999,0E-8,0,0E-8,0E-8
1706750580000,0.10900000,0.10900000,0.10900000,0.10900000,57.00000000,1706750639999,6.21300000,1,0E-8,0E-8
1706750640000,0.10900000,0.10900000,0.10900000,0.10900000,0E-8,1706750699999,0E-8,0,0E-8,0E-8
1706750700000,0.10900000,0.10900000,0.10900000,0.10900000,0E-8,1706750759999,0E-8,0,0E-8,0E-8
1706750760000,0.10900000,0.10900000,0.10900000,0.10900000,0E-8,1706750819999,0E-8,0,0E-8,0E-8
1706750820000,0.10900000,0.10900000,0.10900000,0.10900000,0E-8,1706750879999,0E-8,0,0E-8,0E-8
1706750880000,0.10950000,0.10960000,0.10950000,0.10960000,61.00000000,1706750939999,6.68280000,2,61.00000000,6.68280000
1706750940000,0.10960000,0.10960000,0.10960000,0.10960000,0E-8,1706750999999,0E-8,0,0E-8,0E-8
1706751000000,0.10960000,0.10960000,0.10960000,0.10960000,0E-8,1706751059999,0E-8,0,0E-8,0E-8
1706751060000,0.10960000,0.10960000,0.10960000,0.10960000,0E-8,1706751119999,0E-8,0,0E-8,0E-8
1706751120000,0.10930000,0.10930000,0.10930000,0.10930000,13.00000000,1706751179999,1.42090000,1,13.00000000,1.42090000
1706751180000,0.10930000,0.10930000,0.10930000,0.10930000,0E-8,1706751239999,0E-8,0,0E-8,0E-8
1706751240000,0.10900000,0.10910000,0.10900000,0.10910000,94.00000000,1706751299999,10.25400000,2,94.00000000,10.25400000
1706751300000,0.10890000,0.10890000,0.10890000,0.10890000,14.00000000,1706751359999,1.52460000,1,0E-8,0E-8
1706751360000,0.10890000,0.10890000,0.10890000,0.10890000,0E-8,1706751419999,0E-8,0,0E-8,0E-8
1706751420000,0.10890000,0.10890000,0.10880000,0.10880000,542.00000000,1706751479999,59.00740000,4,0E-8,0E-8
1706751480000,0.10930000,0.11030000,0.10930000,0.11000000,801.00000000,1706751539999,88.01240000,10,733.00000000,80.54600000
1706751540000,0.11000000,0.11000000,0.11000000,0.11000000,0E-8,1706751599999,0E-8,0,0E-8,0E-8
1706751600000,0.11000000,0.11000000,0.11000000,0.11000000,0E-8,1706751659999,0E-8,0,0E-8,0E-8
1706751660000,0.11000000,0.11000000,0.11000000,0.11000000,0E-8,1706751719999,0E-8,0,0E-8,0E-8
1706751720000,0.10930000,0.10990000,0.10890000,0.10890000,752.00000000,1706751779999,82.44080000,6,554.00000000,60.84860000
1706751780000,0.10880000,0.10880000,0.10880000,0.10880000,46.00000000,1706751839999,5.00480000,1,0E-8,0E-8
1706751840000,0.10880000,0.10880000,0.10880000,0.10880000,0E-8,1706751899999,0E-8,0,0E-8,0E-8
1706751900000,0.10880000,0.10880000,0.10880000,0.10880000,0E-8,1706751959999,0E-8,0,0E-8,0E-8
1706751960000,0.10880000,0.10880000,0.10880000,0.10880000,0E-8,1706752019999,0E-8,0,0E-8,0E-8
1706752020000,0.10880000,0.10880000,0.10880000,0.10880000,0E-8,1706752079999,0E-8,0,0E-8,0E-8
1706752080000,0.10880000,0.10880000,0.10880000,0.10880000,0E-8,1706752139999,0E-8,0,0E-8,0E-8
1706752140000,0.10880000,0.10880000,0.10880000,0.10880000,0E-8,1706752199999,0E-8,0,0E-8,0E-8
1706752200000,0.10880000,0.10880000,0.10880000,0.10880000,0E-8,1706752259999,0E-8,0,0E-8,0E-8
1706752260000,0.10880000,0.10880000,0.10880000,0.10880000,0E-8,1706752319999,0E-8,0,0E-8,0E-8
1706752320000,0.10870000,0.10870000,0.10860000,0.10860000,281.00000000,1706752379999,30.54130000,2,0E-8,0E-8
1706752380000,0.10860000,0.10860000,0.10860000,0.10860000,0E-8,1706752439999,0E-8,0,0E-8,0E-8
1706752440000,0.10860000,0.10860000,0.10860000,0.10860000,0E-8,1706752499999,0E-8,0,0E-8,0E-8
1706752500000,0.10860000,0.10860000,0.10860000,0.10860000,0E-8,1706752559999,0E-8,0,0E-8,0E-8
1706752560000,0.10860000,0.10860000,0.10860000,0.10860000,0E-8,1706752619999,0E-8,0,0E-8,0E-8
1706752620000,0.10890000,0.10890000,0.10890000,0.10890000,78.00000000,1706752679999,8.49420000,1,78.00000000,8.49420000
1706752680000,0.10890000,0.10890000,0.10890000,0.10890000,0E-8,1706752739999,0E-8,0,0E-8,0E-8
1706752740000,0.10890000,0.10890000,0.10890000,0.10890000,229.00000000,1706752799999,24.93810000,1,0E-8,0E-8
1706752800000,0.10890000,0.10890000,0.10890000,0.10890000,0E-8,1706752859999,0E-8,0,0E-8,0E-8
1706752860000,0.10900000,0.11100000,0.10900000,0.11000000,1950.00000000,1706752919999,215.04220000,19,1811.00000000,199.73360000
