open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_base_volume,taker_buy_quote_volume
1711929600000,0.99790000,0.99790000,0.99790000,0.99790000,0E-8,1711929659999,0E-8,0,0E-8,0E-8
1711929660000,0.99790000,0.99790000,0.99790000,0.99790000,0E-8,1711929719999,0E-8,0,0E-8,0E-8
1711929720000,0.99790000,0.99790000,0.99790000,0.99790000,0E-8,1711929779999,0E-8,0,0E-8,0E-8
1711929780000,0.99790000,0.99790000,0.99790000,0.99790000,0E-8,1711929839999,0E-8,0,0E-8,0E-8
1711929840000,0.99790000,0.99790000,0.99790000,0.99790000,0E-8,1711929899999,0E-8,0,0E-8,0E-8
1711929900000,0.99790000,0.99790000,0.99790000,0.99790000,0E-8,1711929959999,0E-8,0,0E-8,0E-8
1711929960000,0.99790000,0.99790000,0.99790000,0.99790000,0E-8,1711930019999,0E-8,0,0E-8,0E-8
1711930020000,0.99790000,0.99790000,0.99790000,0.99790000,0E-8,1711930079999,0E-8,0,0E-8,0E-8
1711930080000,0.99790000,0.99790000,0.99790000,0.99790000,0E-8,1711930139999,0E-8,0,0E-8,0E-8
1711930140000,0.99790000,0.99790000,0.99790000,0.99790000,0E-8,1711930199999,0E-8,0,0E-8,0E-8
1711930200000,0.99790000,0.99790000,0.99790000,0.99790000,0E-8,1711930259999,0E-8,0,0E-8,0E-8
1711930260000,0.99790000,0.99790000,0.99790000,0.99790000,0E-8,1711930319999,0E-8,0,0E-8,0E-8
1711930320000,0.99790000,0.99790000,0.99790000,0.99790000,0E-8,1711930379999,0E-8,0,0E-8,0E-8
1711930380000,0.99790000,0.99790000,0.99790000,0.99790000,0E-8,1711930439999,0E-8,0,0E-8,0E-8
1711930440000,0.99790000,0.99790000,0.99790000,0.99790000,0E-8,1711930499999,0E-8,0,0E-8,0E-8
1711930500000,0.99790000,0.99790000,0.99790000,0.99790000,0E-8,1711930559999,0E-8,0,0E-8,0E-8
1711930560000,0.99790000,0.99790000,0.99790000,0.99790000,0E-8,1711930619999,0E-8,0,0E-8,0E-8
1711930620000,0.99790000,0.99790000,0.99790000,0.99790000,0E-8,1711930679999,0E-8,0,0E-8,0E-8
1711930680000,0.99790000,0.99790000,0.99790000,0.99790000,0E-8,1711930739999,0E-8,0,0E-8,0E-8
1711930740000,0.99790000,0.99790000,0.99790000,0.99790000,0E-8,1711930799999,0E-8,0,0E-8,0E-8
1711930800000,0.99790000,0.99790000,0.99790000,0.99790000,0E-8,1711930859999,0E-8,0,0E-8,0E-8
1711930860000,0.99790000,0.99790000,0.99790000,0.99790000,0E-8,1711930919999,0E-8,0,0E-8,0E-8
1711930920000,0.99790000,0.99790000,0.99790000,0.99790000,0E-8,1711930979999,0E-8,0,0E-8,0E-8
1711930980000,0.99790000,0.99790000,0.99790000,0.99790000,0E-8,1711931039999,0E-8,0,0E-8,0E-8
1711931040000,0.99790000,0.99790000,0.99790000,0.99790000,0E-8,1711931099999,0E-8,0,0E-8,0E-8
1711931100000,0.99790000,0.99790000,0.99790000,0.99790000,0E-8,1711931159999,0E-8,0,0E-8,0E-8
1711931160000,0.99790000,0.99790000,0.99790000,0.99790000,0E-8,1711931219999,0E-8,0,0E-8,0E-8
1711931220000,0.99790000,0.99790000,0.99790000,0.99790000,0E-8,1711931279999,0E-8,0,0E-8,0E-8
1711931280000,0.99790000,0.99790000,0.99790000,0.99790000,0E-8,1711931339999,0E-8,0,0E-8,0E-8
1711931340000,0.99790000,0.99790000,0.99790000,0.99790000,0E-8,1711931399999,0E-8,0,0E-8,0E-8
1711931400000,0.99790000,0.99790000,0.99790000,0.99790000,0E-8,1711931459999,0E-8,0,0E-8,0E-8
1711931460000,0.99790000,0.99790000,0.99790000,0.99790000,0E-8,1711931519999,0E-8,0,0E-8,0E-8
