dependent,independent,alpha,betas,residuals,adj_r2,adf_pvalue,adf_stat
BCHUSDT,"['XRPUSDT', 'DAIUSDT']",9.641809919913591e-14,"XRPUSDT   -9.705083e-15
DAIUSDT    1.000000e+00
dtype: float64","0        -2.640110e-13
1        -2.640110e-13
2        -2.640110e-13
3        -2.641221e-13
4        -2.641221e-13
              ...     
611995   -2.465805e-13
611996   -2.465805e-13
611997   -2.465805e-13
611998   -2.465805e-13
611999   -2.465805e-13
Name: None, Length: 612000, dtype: float64",1.0,6.849905361026376e-07,-5.723647433824136
BCHUSDT,"['DAIUSDT', 'XRPUSDT']",-1.9068817705414354e-12,"DAIUSDT    1.000000e+00
XRPUSDT   -3.109711e-15
dtype: float64","0        -1.068035e-13
1        -1.068035e-13
2        -1.068035e-13
3        -1.074696e-13
4        -1.074696e-13
              ...     
611995   -7.627232e-14
611996   -7.627232e-14
611997   -7.627232e-14
611998   -7.627232e-14
611999   -7.627232e-14
Name: None, Length: 612000, dtype: float64",1.0,0.0,-21.493879320283188
DAIUSDT,"['XRPUSDT', 'BCHUSDT']",9.641809919913591e-14,"XRPUSDT   -9.705083e-15
BCHUSDT    1.000000e+00
dtype: float64","0        -2.640110e-13
1        -2.640110e-13
2        -2.640110e-13
3        -2.641221e-13
4        -2.641221e-13
              ...     
611995   -2.465805e-13
611996   -2.465805e-13
611997   -2.465805e-13
611998   -2.465805e-13
611999   -2.465805e-13
Name: None, Length: 612000, dtype: float64",1.0,6.849905361026376e-07,-5.723647433824136
DAIUSDT,"['BCHUSDT', 'XRPUSDT']",-1.9068817705414354e-12,"BCHUSDT    1.000000e+00
XRPUSDT   -3.109711e-15
dtype: float64","0        -1.068035e-13
1        -1.068035e-13
2        -1.068035e-13
3        -1.074696e-13
4        -1.074696e-13
              ...     
611995   -7.627232e-14
611996   -7.627232e-14
611997   -7.627232e-14
611998   -7.627232e-14
611999   -7.627232e-14
Name: None, Length: 612000, dtype: float64",1.0,0.0,-21.493879320283188
XLMUSDT,"['XRPUSDT', 'AVAXUSDT']",-0.05749334140376311,"XRPUSDT     0.140907
AVAXUSDT    0.002776
dtype: float64","0        -0.007514
1        -0.007514
2        -0.007708
3        -0.008009
4        -0.008100
            ...   
611995    0.000162
611996    0.000050
611997    0.000043
611998   -0.001093
611999   -0.001143
Name: None, Length: 612000, dtype: float64",0.9062001698101615,0.01684380252173124,-3.258394668383778
XLMUSDT,"['AVAXUSDT', 'XRPUSDT']",-0.057493341403770166,"AVAXUSDT    0.002776
XRPUSDT     0.140907
dtype: float64","0        -0.007514
1        -0.007514
2        -0.007708
3        -0.008009
4        -0.008100
            ...   
611995    0.000162
611996    0.000050
611997    0.000043
611998   -0.001093
611999   -0.001143
Name: None, Length: 612000, dtype: float64",0.9062001698101613,0.016843802521730157,-3.2583946683838003
BCHUSDT,"['DAIUSDT', 'LTCUSDT']",-1.8134382884227307e-12,"DAIUSDT    1.000000e+00
LTCUSDT   -7.515261e-16
dtype: float64","0        -1.030287e-13
1        -1.030287e-13
2        -1.030287e-13
3        -1.036948e-13
4        -1.035838e-13
              ...     
611995   -3.919087e-14
611996   -3.919087e-14
611997   -3.919087e-14
611998   -3.919087e-14
611999   -3.941292e-14
Name: None, Length: 612000, dtype: float64",1.0,6.32894361910122e-30,-17.21547666607565
BCHUSDT,"['LTCUSDT', 'DAIUSDT']",1.8471205467940344e-13,"LTCUSDT   -3.822947e-16
DAIUSDT    1.000000e+00
dtype: float64","0        -2.300382e-13
1        -2.300382e-13
2        -2.300382e-13
3        -2.300382e-13
4        -2.300382e-13
              ...     
611995   -2.093881e-13
611996   -2.093881e-13
611997   -2.093881e-13
611998   -2.093881e-13
611999   -2.094991e-13
Name: None, Length: 612000, dtype: float64",1.0,0.012645551239110445,-3.3536136896552273
DAIUSDT,"['BCHUSDT', 'LTCUSDT']",-1.8134382884227307e-12,"BCHUSDT    1.000000e+00
LTCUSDT   -7.515261e-16
dtype: float64","0        -1.030287e-13
1        -1.030287e-13
2        -1.030287e-13
3        -1.036948e-13
4        -1.035838e-13
              ...     
611995   -3.919087e-14
611996   -3.919087e-14
611997   -3.919087e-14
611998   -3.919087e-14
611999   -3.941292e-14
Name: None, Length: 612000, dtype: float64",1.0,6.32894361910122e-30,-17.21547666607565
DAIUSDT,"['LTCUSDT', 'BCHUSDT']",1.8471205467940344e-13,"LTCUSDT   -3.822947e-16
BCHUSDT    1.000000e+00
dtype: float64","0        -2.300382e-13
1        -2.300382e-13
2        -2.300382e-13
3        -2.300382e-13
4        -2.300382e-13
              ...     
611995   -2.093881e-13
611996   -2.093881e-13
611997   -2.093881e-13
611998   -2.093881e-13
611999   -2.094991e-13
Name: None, Length: 612000, dtype: float64",1.0,0.012645551239110445,-3.3536136896552273
BCHUSDT,"['DAIUSDT', 'XLMUSDT']",-1.7762258677778142e-12,"DAIUSDT    1.000000e+00
XLMUSDT   -2.332772e-13
dtype: float64","0        -2.264855e-13
1        -2.264855e-13
2        -2.264855e-13
3        -2.270406e-13
4        -2.270406e-13
              ...     
611995   -1.578737e-13
611996   -1.578737e-13
611997   -1.578737e-13
611998   -1.580958e-13
611999   -1.580958e-13
Name: None, Length: 612000, dtype: float64",1.0,2.1183955633888735e-22,-12.091407774990666
BCHUSDT,"['XLMUSDT', 'DAIUSDT']",2.419410158327473e-13,"XLMUSDT   -9.061669e-14
DAIUSDT    1.000000e+00
dtype: float64","0        -1.705303e-13
1        -1.705303e-13
2        -1.705303e-13
3        -1.705303e-13
4        -1.705303e-13
              ...     
611995   -1.546541e-13
611996   -1.546541e-13
611997   -1.546541e-13
611998   -1.547651e-13
611999   -1.547651e-13
Name: None, Length: 612000, dtype: float64",1.0,0.3087768343600631,-1.9503082938783547
DAIUSDT,"['BCHUSDT', 'XLMUSDT']",-1.7762258677778142e-12,"BCHUSDT    1.000000e+00
XLMUSDT   -2.332772e-13
dtype: float64","0        -2.264855e-13
1        -2.264855e-13
2        -2.264855e-13
3        -2.270406e-13
4        -2.270406e-13
              ...     
611995   -1.578737e-13
611996   -1.578737e-13
611997   -1.578737e-13
611998   -1.580958e-13
611999   -1.580958e-13
Name: None, Length: 612000, dtype: float64",1.0,2.1183955633888735e-22,-12.091407774990666
DAIUSDT,"['XLMUSDT', 'BCHUSDT']",2.419410158327473e-13,"XLMUSDT   -9.061669e-14
BCHUSDT    1.000000e+00
dtype: float64","0        -1.705303e-13
1        -1.705303e-13
2        -1.705303e-13
3        -1.705303e-13
4        -1.705303e-13
              ...     
611995   -1.546541e-13
611996   -1.546541e-13
611997   -1.546541e-13
611998   -1.547651e-13
611999   -1.547651e-13
Name: None, Length: 612000, dtype: float64",1.0,0.3087768343600631,-1.9503082938783547
BCHUSDT,"['DAIUSDT', 'AVAXUSDT']",-1.8645389052163175e-12,"DAIUSDT     1.000000e+00
AVAXUSDT   -2.500558e-15
dtype: float64","0        -1.358913e-13
1        -1.358913e-13
2        -1.356693e-13
3        -1.362244e-13
4        -1.362244e-13
              ...     
611995   -1.509903e-13
611996   -1.509903e-13
611997   -1.509903e-13
611998   -1.509903e-13
611999   -1.509903e-13
Name: None, Length: 612000, dtype: float64",1.0,1.1931273353124057e-27,-14.972839425939332
BCHUSDT,"['AVAXUSDT', 'DAIUSDT']",1.845125614796661e-13,"AVAXUSDT   -2.137957e-15
DAIUSDT     1.000000e+00
dtype: float64","0        -2.285949e-13
1        -2.285949e-13
2        -2.283729e-13
3        -2.283729e-13
4        -2.283729e-13
              ...     
611995   -2.626788e-13
611996   -2.626788e-13
611997   -2.626788e-13
611998   -2.626788e-13
611999   -2.626788e-13
Name: None, Length: 612000, dtype: float64",1.0,0.08336975880664155,-2.6485632037067393
DAIUSDT,"['BCHUSDT', 'AVAXUSDT']",-1.8645389052163175e-12,"BCHUSDT     1.000000e+00
AVAXUSDT   -2.500558e-15
dtype: float64","0        -1.358913e-13
1        -1.358913e-13
2        -1.356693e-13
3        -1.362244e-13
4        -1.362244e-13
              ...     
611995   -1.509903e-13
611996   -1.509903e-13
611997   -1.509903e-13
611998   -1.509903e-13
611999   -1.509903e-13
Name: None, Length: 612000, dtype: float64",1.0,1.1931273353124057e-27,-14.972839425939332
DAIUSDT,"['AVAXUSDT', 'BCHUSDT']",1.845125614796661e-13,"AVAXUSDT   -2.137957e-15
BCHUSDT     1.000000e+00
dtype: float64","0        -2.285949e-13
1        -2.285949e-13
2        -2.283729e-13
3        -2.283729e-13
4        -2.283729e-13
              ...     
611995   -2.626788e-13
611996   -2.626788e-13
611997   -2.626788e-13
611998   -2.626788e-13
611999   -2.626788e-13
Name: None, Length: 612000, dtype: float64",1.0,0.08336975880664155,-2.6485632037067393
