dependent,independent,alpha,adj_r2
ETHUSDT,"['BTCUSDT', 'AVAXUSDT']",1293.8699831494018,0.5148255673983957
ETHUSDT,"['AVAXUSDT', 'BTCUSDT']",1293.8699831493059,0.5148255673983991
AVAXUSDT,"['BTCUSDT', 'ETHUSDT']",0.8273959012554881,0.4013791962029336
AVAXUSDT,"['ETHUSDT', 'BTCUSDT']",0.8273959012542338,0.40137919620293583
BTCUSDT,"['ADAUSDT', 'BNBUSDT']",-5754.34668903939,0.9101597212613759
BTCUSDT,"['BNBUSDT', 'ADAUSDT']",-5754.346689040827,0.9101597212613768
ADAUSDT,"['BTCUSDT', 'BNBUSDT']",0.1302875586487134,0.7615679016113879
ADAUSDT,"['BNBUSDT', 'BTCUSDT']",0.13028755864883568,0.7615679016113865
BNBUSDT,"['BTCUSDT', 'ADAUSDT']",146.10801421841308,0.8146296870052263
BNBUSDT,"['ADAUSDT', 'BTCUSDT']",146.10801421605936,0.8146296870052262
BTCUSDT,"['ADAUSDT', 'DOGEUSDT']",34373.13345922347,0.7239353901753429
BTCUSDT,"['DOGEUSDT', 'ADAUSDT']",34373.13345922715,0.7239353901753427
ADAUSDT,"['BTCUSDT', 'DOGEUSDT']",-0.11761413995661002,0.606736751243909
ADAUSDT,"['DOGEUSDT', 'BTCUSDT']",-0.11761413994889225,0.6067367512439055
DOGEUSDT,"['BTCUSDT', 'ADAUSDT']",-0.10297078897716537,0.5910030761013293
DOGEUSDT,"['ADAUSDT', 'BTCUSDT']",-0.10297078897676676,0.5910030761013179
BTCUSDT,"['ADAUSDT', 'LINKUSDT']",44325.07155961095,0.6189476850278014
BTCUSDT,"['LINKUSDT', 'ADAUSDT']",44325.07155961915,0.6189476850277994
ADAUSDT,"['BTCUSDT', 'LINKUSDT']",-0.33751002515993694,0.8615590552451907
ADAUSDT,"['LINKUSDT', 'BTCUSDT']",-0.33751002515995215,0.8615590552451908
LINKUSDT,"['BTCUSDT', 'ADAUSDT']",8.135894081473298,0.7866633890929491
LINKUSDT,"['ADAUSDT', 'BTCUSDT']",8.13589408163647,0.7866633890929424
BTCUSDT,"['ADAUSDT', 'SOLUSDT']",13634.654186646065,0.7390451696438316
BTCUSDT,"['SOLUSDT', 'ADAUSDT']",13634.654186646741,0.7390451696438318
ADAUSDT,"['BTCUSDT', 'SOLUSDT']",-0.08165999832960283,0.6194738453953712
ADAUSDT,"['SOLUSDT', 'BTCUSDT']",-0.08165999832957496,0.6194738453953699
SOLUSDT,"['BTCUSDT', 'ADAUSDT']",53.84346796558218,0.4526786666674787
SOLUSDT,"['ADAUSDT', 'BTCUSDT']",53.843467965233216,0.45267866666748113
BTCUSDT,"['ADAUSDT', 'WBTC']",32793.29639366311,0.6016792587696775
BTCUSDT,"['WBTC', 'ADAUSDT']",32793.296393693694,0.6016792587696775
ADAUSDT,"['BTCUSDT', 'WBTC']",0.31835115869234043,0.6151859240275296
ADAUSDT,"['WBTC', 'BTCUSDT']",0.3183511586937909,0.6151859240275176
WBTC,"['BTCUSDT', 'ADAUSDT']",1.043404324058083,0.06990637830040691
WBTC,"['ADAUSDT', 'BTCUSDT']",1.0434043240574458,0.06990637830041213
BTCUSDT,"['ADAUSDT', 'XRPUSDT']",47859.47382539883,0.7608203560156092
BTCUSDT,"['XRPUSDT', 'ADAUSDT']",47859.473825400564,0.7608203560156088
ADAUSDT,"['BTCUSDT', 'XRPUSDT']",0.21021245773437058,0.7147524048143441
ADAUSDT,"['XRPUSDT', 'BTCUSDT']",0.2102124577330181,0.7147524048143457
XRPUSDT,"['BTCUSDT', 'ADAUSDT']",-1.6523006598437342,0.8236131697720406
XRPUSDT,"['ADAUSDT', 'BTCUSDT']",-1.652300659830783,0.8236131697720372
BTCUSDT,"['ADAUSDT', 'BCHUSDT']",58436.023334859914,0.6016708791841954
BTCUSDT,"['BCHUSDT', 'ADAUSDT']",58436.023334868005,0.6016708791841947
ADAUSDT,"['BTCUSDT', 'BCHUSDT']",-0.3114789149053645,0.6015615200394795
ADAUSDT,"['BCHUSDT', 'BTCUSDT']",-0.3114789149034589,0.6015615200394803
BCHUSDT,"['BTCUSDT', 'ADAUSDT']",0.9896217064603956,0.00044357036115749704
BCHUSDT,"['ADAUSDT', 'BTCUSDT']",0.9896217064604196,0.00044357036115105775
BTCUSDT,"['ADAUSDT', 'DAIUSDT']",58436.023334859914,0.6016708791841954
BTCUSDT,"['DAIUSDT', 'ADAUSDT']",58436.023334868005,0.6016708791841947
ADAUSDT,"['BTCUSDT', 'DAIUSDT']",-0.3114789149053645,0.6015615200394795
ADAUSDT,"['DAIUSDT', 'BTCUSDT']",-0.3114789149034589,0.6015615200394803
DAIUSDT,"['BTCUSDT', 'ADAUSDT']",0.9896217064603956,0.00044357036115749704
DAIUSDT,"['ADAUSDT', 'BTCUSDT']",0.9896217064604196,0.00044357036115105775
BTCUSDT,"['ADAUSDT', 'LTCUSDT']",11319.384900168985,0.7241923247377503
BTCUSDT,"['LTCUSDT', 'ADAUSDT']",11319.384900162075,0.7241923247377505
ADAUSDT,"['BTCUSDT', 'LTCUSDT']",-0.29095722196554297,0.7399423639474472
ADAUSDT,"['LTCUSDT', 'BTCUSDT']",-0.29095722196570256,0.7399423639474447
LTCUSDT,"['BTCUSDT', 'ADAUSDT']",23.515037897624424,0.8129497109570244
LTCUSDT,"['ADAUSDT', 'BTCUSDT']",23.515037897993743,0.8129497109570236
BTCUSDT,"['ADAUSDT', 'XLMUSDT']",53503.1778919169,0.7447994041452844
BTCUSDT,"['XLMUSDT', 'ADAUSDT']",53503.177891915926,0.7447994041452827
ADAUSDT,"['BTCUSDT', 'XLMUSDT']",0.3420940804228839,0.8693921275631887
ADAUSDT,"['XLMUSDT', 'BTCUSDT']",0.34209408044971235,0.8693921275631843
XLMUSDT,"['BTCUSDT', 'ADAUSDT']",-0.21263922661864498,0.9147720623753455
XLMUSDT,"['ADAUSDT', 'BTCUSDT']",-0.21263922661544515,0.9147720623753465
BTCUSDT,"['ADAUSDT', 'AVAXUSDT']",53082.68319060517,0.7002967628412822
BTCUSDT,"['AVAXUSDT', 'ADAUSDT']",53082.683190613156,0.7002967628412805
ADAUSDT,"['BTCUSDT', 'AVAXUSDT']",-0.46788226177759207,0.7995847760622807
ADAUSDT,"['AVAXUSDT', 'BTCUSDT']",-0.46788226177766834,0.7995847760622834
AVAXUSDT,"['BTCUSDT', 'ADAUSDT']",32.41269658411761,0.520524263869795
AVAXUSDT,"['ADAUSDT', 'BTCUSDT']",32.41269658447765,0.5205242638697812
BTCUSDT,"['BNBUSDT', 'DOGEUSDT']",6507.3259178036415,0.7874442089854007
BTCUSDT,"['DOGEUSDT', 'BNBUSDT']",6507.325917806179,0.7874442089853999
BNBUSDT,"['BTCUSDT', 'DOGEUSDT']",183.90381326694205,0.6902895836415831
BNBUSDT,"['DOGEUSDT', 'BTCUSDT']",183.90381326645598,0.6902895836416071
DOGEUSDT,"['BTCUSDT', 'BNBUSDT']",-0.10669211153049521,0.5856980009868635
DOGEUSDT,"['BNBUSDT', 'BTCUSDT']",-0.10669211153049349,0.5856980009868635
BTCUSDT,"['BNBUSDT', 'LINKUSDT']",-17915.41060719081,0.8374209040908237
BTCUSDT,"['LINKUSDT', 'BNBUSDT']",-17915.41060717823,0.8374209040908235
BNBUSDT,"['BTCUSDT', 'LINKUSDT']",232.85658486673597,0.7604286430697367
