open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_base_volume,taker_buy_quote_volume
1706745600000,1.00000000,1.00000000,1.00000000,1.00000000,0E-8,1706745659999,0E-8,0,0E-8,0E-8
1706745660000,1.00000000,1.00000000,1.00000000,1.00000000,0E-8,1706745719999,0E-8,0,0E-8,0E-8
1706745720000,1.00000000,1.00000000,1.00000000,1.00000000,0E-8,1706745779999,0E-8,0,0E-8,0E-8
1706745780000,1.00000000,1.00000000,1.00000000,1.00000000,0E-8,1706745839999,0E-8,0,0E-8,0E-8
1706745840000,1.00000000,1.00000000,1.00000000,1.00000000,0E-8,1706745899999,0E-8,0,0E-8,0E-8
1706745900000,1.00000000,1.00000000,1.00000000,1.00000000,0E-8,1706745959999,0E-8,0,0E-8,0E-8
1706745960000,1.00000000,1.00000000,1.00000000,1.00000000,0E-8,1706746019999,0E-8,0,0E-8,0E-8
1706746020000,1.00000000,1.00000000,1.00000000,1.00000000,0E-8,1706746079999,0E-8,0,0E-8,0E-8
1706746080000,1.00000000,1.00000000,1.00000000,1.00000000,0E-8,1706746139999,0E-8,0,0E-8,0E-8
1706746140000,1.00000000,1.00000000,1.00000000,1.00000000,0E-8,1706746199999,0E-8,0,0E-8,0E-8
1706746200000,1.00000000,1.00000000,1.00000000,1.00000000,0E-8,1706746259999,0E-8,0,0E-8,0E-8
1706746260000,1.00000000,1.00000000,1.00000000,1.00000000,0E-8,1706746319999,0E-8,0,0E-8,0E-8
1706746320000,1.00000000,1.00000000,1.00000000,1.00000000,0E-8,1706746379999,0E-8,0,0E-8,0E-8
1706746380000,1.00000000,1.00000000,1.00000000,1.00000000,0E-8,1706746439999,0E-8,0,0E-8,0E-8
1706746440000,1.00000000,1.00000000,1.00000000,1.00000000,0E-8,1706746499999,0E-8,0,0E-8,0E-8
1706746500000,1.00000000,1.00000000,1.00000000,1.00000000,0E-8,1706746559999,0E-8,0,0E-8,0E-8
1706746560000,1.00000000,1.00000000,1.00000000,1.00000000,0E-8,1706746619999,0E-8,0,0E-8,0E-8
1706746620000,1.00000000,1.00000000,1.00000000,1.00000000,0E-8,1706746679999,0E-8,0,0E-8,0E-8
1706746680000,1.00000000,1.00000000,1.00000000,1.00000000,0E-8,1706746739999,0E-8,0,0E-8,0E-8
1706746740000,1.00000000,1.00000000,1.00000000,1.00000000,0E-8,1706746799999,0E-8,0,0E-8,0E-8
1706746800000,1.00000000,1.00000000,1.00000000,1.00000000,0E-8,1706746859999,0E-8,0,0E-8,0E-8
1706746860000,1.00000000,1.00000000,1.00000000,1.00000000,0E-8,1706746919999,0E-8,0,0E-8,0E-8
1706746920000,1.00000000,1.00000000,1.00000000,1.00000000,0E-8,1706746979999,0E-8,0,0E-8,0E-8
1706746980000,1.00000000,1.00000000,1.00000000,1.00000000,0E-8,1706747039999,0E-8,0,0E-8,0E-8
1706747040000,1.00000000,1.00000000,1.00000000,1.00000000,0E-8,1706747099999,0E-8,0,0E-8,0E-8
1706747100000,1.00000000,1.00000000,1.00000000,1.00000000,0E-8,1706747159999,0E-8,0,0E-8,0E-8
1706747160000,1.00000000,1.00000000,1.00000000,1.00000000,0E-8,1706747219999,0E-8,0,0E-8,0E-8
